No,RCH,XRP,Brand,Claim,Spend,Split,Add_id,Gfk id,Occ_id,Channel,Company,Country,Product,Category,Duration,EPG name,Industry,Language,Airing day,Ad block id,Airing date,Airing time,Subcategory,ADScanner ID,Ads in block,EPG category,Occurance id,First or last,Airing daypart,Ad block duration,Position in block,Placement in block,Total ads in block,Position in block  ,Ad block net duration,Before / Within content
956,0.3317,0.3317,eBay ,Things.People.Love.,6342,N/A,23179157,01400040,293773226,VOX,eBay International,Germany,eBay ,Online Retailers,20,Medical Detectives - Geheimnisse der Gerichtsmedizin,RETAILERS,,Wednesday,97695219,2025-12-03,00:52:52,Online Retailers,23179157_102520eBay InternationaleBay ,20,Documentary,293773226,None,00 - 03,10:10,Within,M,25,20,00:58,Within
991,0.4098,0.4098,eBay ,Things.People.Love.,2610,N/A,23179144,01261101,293796036,VOX,eBay International,Germany,eBay ,Online Retailers,15,CSI: Den Tätern auf der Spur,RETAILERS,,Wednesday,97695235,2025-12-03,11:11:08,Online Retailers,23179144_102515eBay InternationaleBay ,9,TV series,293796036,None,11 - 13,05:57,Within,M,16,9,01:57,Within
1001,0.3997,0.3997,eBay ,Things.People.Love.,3045,N/A,23179157,01261209,293799364,VOX,eBay International,Germany,eBay ,Online Retailers,20,CSI: Den Tätern auf der Spur,RETAILERS,,Wednesday,97695237,2025-12-03,12:08:33,Online Retailers,23179157_102520eBay InternationaleBay ,10,TV series,293799364,None,11 - 13,07:14,Within,M,21,10,02:33,Within
1016,0.4481,0.4481,eBay ,Things.People.Love.,3822,N/A,23192969,01301407,293805724,VOX,eBay International,Germany,eBay ,Online Retailers,20,CSI: Miami,RETAILERS,,Wednesday,97695241,2025-12-03,14:22:46,Online Retailers,23192969_122520eBay InternationaleBay ,6,TV series,293805724,None,13 - 17,06:36,Within,M,17,6,00:50,Within
1024,1.2843,1.2843,eBay ,Things.People.Love.,7938,Pre-split,23179157,58351506,293807644,VOX,eBay International,Germany,eBay ,Online Retailers,20,Shopping Queen,RETAILERS,,Wednesday,97695244,2025-12-03,15:34:48,Online Retailers,23179157_102520eBay InternationaleBay ,1,Lifestyle,293807644,First,13 - 17,06:20,Within,A,21,1,00:45,Within
1060,1.6717,1.6717,eBay ,Things.People.Love.,50127,Pre-split,23179157,64792151,293842352,VOX,eBay International,Germany,eBay ,Online Retailers,20,Doc Caro - Jedes Leben zählt,RETAILERS,,Wednesday,97695257,2025-12-03,21:06:33,Online Retailers,23179157_102520eBay InternationaleBay ,1,Lifestyle,293842352,First,20 - 23,08:16,Within,A,24,1,01:47,Within
1081,0.5001,0.5001,eBay ,Things.People.Love.,6951,N/A,23179110,01422353,293832177,VOX,eBay International,Germany,eBay ,Online Retailers,20,Die Rettungsflieger - Hilfe aus der Luft,RETAILERS,,Wednesday,97695261,2025-12-03,23:31:21,Online Retailers,23179110_102520eBay InternationaleBay ,11,Lifestyle,293832177,None,23 - 00,06:08,Within,M,19,11,01:42,Within
213,1.0473,1.0473,eBay ,Things.People.Love.,8568,N/A,23179144,01622134,293695166,SUPER RTL,eBay International,Germany,eBay ,Online Retailers,15,Die zauberhafte Weihnachtsfee,RETAILERS,,Monday   ,97684367,2025-12-01,21:36:21,Online Retailers,23179144_102515eBay InternationaleBay ,11,Movie,293695166,None,20 - 23,08:05,Within,M,21,11,01:20,Within
227,0.8413,0.8413,eBay ,Things.People.Love.,2934,N/A,23179144,01372336,293702193,SUPER RTL,eBay International,Germany,eBay ,Online Retailers,15,Meine zauberhaften Weihnachtsschuhe,RETAILERS,,Monday   ,97684371,2025-12-01,23:13:58,Online Retailers,23179144_102515eBay InternationaleBay ,5,Movie,293702193,None,23 - 00,07:15,Within,M,24,5,02:27,Within
288,0.8572,0.8572,eBay ,Things.People.Love.,2772,N/A,23179026,01362346,293770573,SUPER RTL,eBay International,Germany,eBay ,Online Retailers,15,Mein Weihnachtsprinz,RETAILERS,,Tuesday  ,97691177,2025-12-02,23:19:14,Online Retailers,23179026_102515eBay InternationaleBay ,14,Movie,293770573,None,23 - 00,06:50,Within,M,19,14,01:50,Within
381,0.1539,0.1539,eBay ,Things.People.Love.,522,N/A,23179144,01141005,293660710,NITRO,eBay International,Germany,eBay ,Online Retailers,15,JAG - Im Auftrag der Ehre,RETAILERS,,Monday   ,97685535,2025-12-01,10:35:09,Online Retailers,23179144_102515eBay InternationaleBay ,8,TV series,293660710,None,09 - 11,08:27,Within,M,26,8,01:57,Within
388,0.1597,0.1597,eBay ,Things.People.Love.,672,N/A,23179157,01151106,293663847,NITRO,eBay International,Germany,eBay ,Online Retailers,20,JAG - Im Auftrag der Ehre,RETAILERS,,Monday   ,97685536,2025-12-01,11:12:54,Online Retailers,23179157_102520eBay InternationaleBay ,13,TV series,293663847,None,11 - 13,06:26,Within,M,19,13,01:00,Within
402,0.2132,0.2132,eBay ,Things.People.Love.,1008,N/A,23192969,01211602,293678849,NITRO,eBay International,Germany,eBay ,Online Retailers,20,Ein Käfig voller Helden,RETAILERS,,Monday   ,97685542,2025-12-01,16:10:26,Online Retailers,23192969_122520eBay InternationaleBay ,9,TV series,293678849,None,13 - 17,06:51,Within,M,21,9,02:38,Within
414,0.4907,0.4907,eBay ,Things.People.Love.,2793,N/A,23179157,01401804,293685846,NITRO,eBay International,Germany,eBay ,Online Retailers,20,M*A*S*H,RETAILERS,,Monday   ,97685544,2025-12-01,18:06:39,Online Retailers,23179157_102520eBay InternationaleBay ,4,TV series,293685846,None,17 - 20,05:58,Within,M,19,4,01:50,Within
429,0.5262,0.5262,eBay ,Things.People.Love.,3348,Post-split,23179144,63401805,293689063,NITRO,eBay International,Germany,eBay ,Online Retailers,15,Ein Käfig voller Helden,RETAILERS,,Monday   ,97685545,2025-12-01,19:00:19,Online Retailers,23179144_102515eBay InternationaleBay ,22,TV series,293689063,Last,17 - 20,07:14,Within,Z,22,22,03:10,Within
432,0.4271,0.4271,eBay ,Things.People.Love.,4221,N/A,23179157,01492000,293692775,NITRO,eBay International,Germany,eBay ,Online Retailers,20,"Hör mal, wer da hämmert",RETAILERS,,Monday   ,97685547,2025-12-01,20:03:28,Online Retailers,23179157_102520eBay InternationaleBay ,1,TV series,293692775,First,20 - 23,07:11,Within,A,24,1,02:17,Within
447,0.5529,0.5529,eBay ,Things.People.Love.,5124,N/A,23179110,01532137,293696319,NITRO,eBay International,Germany,eBay ,Online Retailers,20,Medical Detectives - Geheimnisse der Gerichtsmedizin,RETAILERS,,Monday   ,97685550,2025-12-01,21:51:31,Online Retailers,23179110_102520eBay InternationaleBay ,12,Documentary,293696319,None,20 - 23,08:11,Within,M,21,12,02:00,Within
465,0.5536,0.5536,eBay ,Things.People.Love.,2373,N/A,23179157,01362331,293702144,NITRO,eBay International,Germany,eBay ,Online Retailers,20,Anwälte der Toten - Im Kopf des Mörders,RETAILERS,,Monday   ,97685553,2025-12-01,23:23:53,Online Retailers,23179157_102520eBay InternationaleBay ,16,Documentary,293702144,None,23 - 00,05:43,Within,M,20,16,01:33,Within
515,0.2045,0.2045,eBay ,Things.People.Love.,864,N/A,23179026,01211602,293744752,NITRO,eBay International,Germany,eBay ,Online Retailers,15,Ein Käfig voller Helden,RETAILERS,,Tuesday  ,97690393,2025-12-02,16:07:23,Online Retailers,23179026_102515eBay InternationaleBay ,9,TV series,293744752,None,13 - 17,06:55,Within,M,20,9,02:05,Within
526,0.4235,0.4235,eBay ,Things.People.Love.,2793,N/A,23179157,01401804,293753677,NITRO,eBay International,Germany,eBay ,Online Retailers,20,M*A*S*H,RETAILERS,,Tuesday  ,97690395,2025-12-02,18:01:47,Online Retailers,23179157_102520eBay InternationaleBay ,5,TV series,293753677,None,17 - 20,06:26,Within,M,19,5,01:15,Within
531,0.4459,0.4459,eBay ,Things.People.Love.,2394,N/A,23179144,01401805,293753664,NITRO,eBay International,Germany,eBay ,Online Retailers,15,Ein Käfig voller Helden,RETAILERS,,Tuesday  ,97690396,2025-12-02,18:54:46,Online Retailers,23179144_102515eBay InternationaleBay ,12,TV series,293753664,None,17 - 20,06:30,Within,M,21,12,01:57,Within
535,0.3426,0.3426,eBay ,Things.People.Love.,3066,N/A,23192969,01421906,293757254,NITRO,eBay International,Germany,eBay ,Online Retailers,20,"Hör mal, wer da hämmert",RETAILERS,,Tuesday  ,97690397,2025-12-02,19:32:55,Online Retailers,23192969_122520eBay InternationaleBay ,6,TV series,293757254,None,17 - 20,07:04,Within,M,21,6,00:40,Within
537,0.3527,0.3527,eBay ,Things.People.Love.,4221,N/A,23179157,01492000,293760478,NITRO,eBay International,Germany,eBay ,Online Retailers,20,"Hör mal, wer da hämmert",RETAILERS,,Tuesday  ,97690398,2025-12-02,20:02:03,Online Retailers,23179157_102520eBay InternationaleBay ,3,TV series,293760478,None,20 - 23,06:37,Within,C,14,3,00:35,Within
550,0.5999,0.5999,eBay ,Things.People.Love.,6195,N/A,23179157,01572244,293768022,NITRO,eBay International,Germany,eBay ,Online Retailers,20,Einsame Entscheidung,RETAILERS,,Tuesday  ,97690402,2025-12-02,22:31:20,Online Retailers,23179157_102520eBay InternationaleBay ,3,Movie,293768022,None,20 - 23,06:16,Within,C,14,3,00:50,Within
556,0.3498,0.3498,eBay ,Things.People.Love.,2163,N/A,23179110,01342345,293771379,NITRO,eBay International,Germany,eBay ,Online Retailers,20,Boss Level,RETAILERS,,Tuesday  ,97690403,2025-12-02,23:19:27,Online Retailers,23179110_102520eBay InternationaleBay ,15,Movie,293771379,None,23 - 00,06:12,Within,M,19,15,01:42,Within
