No,RCH,XRP,Brand,Claim,Spend,Split,Add_id,Gfk id,Occ_id,Channel,Company,Country,Product,Category,Duration,EPG name,Industry,Language,Airing day,Ad block id,Airing date,Airing time,Subcategory,ADScanner ID,Ads in block,EPG category,Occurance id,First or last,Airing daypart,Ad block duration,Position in block,Placement in block,Total ads in block,Position in block  ,Ad block net duration,Before / Within content
852,0.6331,0.6331,eBay ,Things.People.Love.,1540,N/A,23179110,01231102,293730812,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Tuesday  ,97690327,2025-12-02,11:22:12,Online Retailers,23179110_102520eBay InternationaleBay ,3,Lifestyle,293730812,None,11 - 13,06:30,Within,C,19,3,02:07,Within
877,0.5616,0.5616,eBay ,Things.People.Love.,1620,N/A,23179157,01241385,293737696,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Armes Deutschland - Stempeln oder abrackern?,RETAILERS,,Tuesday  ,97690332,2025-12-02,13:51:42,Online Retailers,23179157_102520eBay InternationaleBay ,3,Documentary,293737696,None,13 - 17,06:41,Within,C,20,3,01:43,Within
886,0.5753,0.5753,eBay ,Things.People.Love.,1215,N/A,23179144,01241487,293740513,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Armes Deutschland - Stempeln oder abrackern?,RETAILERS,,Tuesday  ,97690334,2025-12-02,14:49:59,Online Retailers,23179144_102515eBay InternationaleBay ,16,Documentary,293740513,None,13 - 17,06:23,Within,X,18,16,00:50,Within
891,0.7112,0.7112,eBay ,Things.People.Love.,1620,N/A,23179157,01241582,293743714,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Hartz und herzlich,RETAILERS,,Tuesday  ,97690335,2025-12-02,15:30:54,Online Retailers,23179157_102520eBay InternationaleBay ,18,Documentary,293743714,None,13 - 17,06:38,Within,M,21,18,01:40,Within
910,1.0653,1.0653,eBay ,Things.People.Love.,2620,N/A,23192969,01331783,293750461,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Hartz Rot Gold,RETAILERS,,Tuesday  ,97690340,2025-12-02,17:44:17,Online Retailers,23192969_122520eBay InternationaleBay ,4,Lifestyle,293750461,None,17 - 20,07:01,Within,M,22,4,02:43,Within
924,1.2294,1.2294,eBay ,Things.People.Love.,3520,N/A,23179157,01391804,293753491,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Hartz und herzlich - Tag für Tag Benz-Baracken,RETAILERS,,Tuesday  ,97690341,2025-12-02,18:41:29,Online Retailers,23179157_102520eBay InternationaleBay ,15,Lifestyle,293753491,None,17 - 20,05:46,Within,X,17,15,01:38,Within
938,0.9085,0.9085,eBay ,Things.People.Love.,4560,N/A,23179026,01501902,293757085,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Berlin - Tag & Nacht,RETAILERS,,Tuesday  ,97690344,2025-12-02,19:49:01,Online Retailers,23179026_102515eBay InternationaleBay ,18,TV series,293757085,Last,17 - 20,06:23,Within,Z,18,18,00:52,Within
944,0.8976,0.8976,eBay ,Things.People.Love.,7860,N/A,23179144,01612045,293761175,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Berlin - Tag & Nacht,RETAILERS,,Tuesday  ,97690345,2025-12-02,20:05:03,Online Retailers,23179144_102515eBay InternationaleBay ,11,TV series,293761175,None,20 - 23,04:00,Within,X,13,11,01:48,Within
945,1.3176,1.3176,eBay ,Things.People.Love.,14180,N/A,23179157,01672048,293761187,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Armes Deutschland - Stempeln oder abrackern?,RETAILERS,,Tuesday  ,97690346,2025-12-02,20:45:50,Online Retailers,23179157_102520eBay InternationaleBay ,3,Documentary,293761187,None,20 - 23,09:04,Within,C,28,3,02:30,Within
965,1.1405,1.1405,eBay ,Things.People.Love.,12450,N/A,23179144,01702144,293764483,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Armes Deutschland - Stempeln oder abrackern?,RETAILERS,,Tuesday  ,97690348,2025-12-02,21:49:45,Online Retailers,23179144_102515eBay InternationaleBay ,22,Documentary,293764483,None,20 - 23,07:11,Within,X,24,22,02:45,Within
976,0.644,0.644,eBay ,Things.People.Love.,4140,N/A,23193081,01482344,293771458,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Hartz und herzlich,RETAILERS,,Tuesday  ,97690351,2025-12-02,23:21:39,Online Retailers,23193081_122515eBay InternationaleBay ,2,Documentary,293771458,None,23 - 00,06:47,Within,B,16,2,00:35,Within
984,0.4611,0.4611,eBay ,Things.People.Love.,2500,N/A,23179110,01320043,293773266,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Hartz und herzlich,RETAILERS,,Wednesday,97695820,2025-12-03,00:05:12,Online Retailers,23179110_102520eBay InternationaleBay ,18,Documentary,293773266,None,00 - 03,06:46,Within,X,20,18,02:08,Within
993,0.1908,0.1908,eBay ,Things.People.Love.,620,N/A,23179157,01110602,293782062,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Wednesday,97695832,2025-12-03,06:29:15,Online Retailers,23179157_102520eBay InternationaleBay ,2,Lifestyle,293782062,None,06 - 09,06:01,Within,B,22,2,01:38,Within
1009,0.2884,0.2884,eBay ,Things.People.Love.,570,N/A,23179144,01130703,293785349,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Wednesday,97695834,2025-12-03,07:34:11,Online Retailers,23179144_102515eBay InternationaleBay ,22,Lifestyle,293785349,Last,06 - 09,06:18,Within,Z,22,22,02:20,Within
1020,0.5601,0.5601,eBay ,Things.People.Love.,1005,N/A,23179144,01210906,293790908,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Wednesday,97695838,2025-12-03,09:36:35,Online Retailers,23179144_102515eBay InternationaleBay ,20,Lifestyle,293790908,Last,09 - 11,05:53,Within,Z,20,20,01:12,Within
1028,0.6057,0.6057,eBay ,Things.People.Love.,1540,N/A,23179157,01231006,293793926,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Der Trödeltrupp - Das Geld liegt im Keller,RETAILERS,,Wednesday,97695841,2025-12-03,10:43:15,Online Retailers,23179157_102520eBay InternationaleBay ,17,Lifestyle,293793926,None,09 - 11,08:06,Within,X,19,17,02:23,Within
1059,0.5905,0.5905,eBay ,Things.People.Love.,1620,N/A,23192969,01241486,293806606,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Armes Deutschland - Stempeln oder abrackern?,RETAILERS,,Wednesday,97695849,2025-12-03,14:40:02,Online Retailers,23192969_122520eBay InternationaleBay ,21,Documentary,293806606,Last,13 - 17,05:53,Within,Z,21,21,00:50,Within
1073,0.9714,0.9714,eBay ,Things.People.Love.,1620,N/A,23179157,01241681,293810792,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Hartz und herzlich,RETAILERS,,Wednesday,97695854,2025-12-03,16:59:46,Online Retailers,23179157_102520eBay InternationaleBay ,17,Documentary,293810792,Last,13 - 17,05:25,Within,Z,17,17,00:37,Within
1088,1.1015,1.1015,eBay ,Things.People.Love.,2620,N/A,23179157,01331783,293814634,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Hartz Rot Gold,RETAILERS,,Wednesday,97695856,2025-12-03,17:52:34,Online Retailers,23179157_102520eBay InternationaleBay ,21,Lifestyle,293814634,None,17 - 20,07:26,Within,Y,22,21,02:38,Within
1094,0.9193,0.9193,eBay ,Things.People.Love.,10480,N/A,23179157,01612052,293852747,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,20,Berlin - Tag & Nacht,RETAILERS,,Wednesday,97695860,2025-12-03,20:04:01,Online Retailers,23179157_102520eBay InternationaleBay ,9,TV series,293852747,None,20 - 23,05:03,Within,M,12,9,00:40,Within
1100,1.0104,1.0104,eBay ,Things.People.Love.,13110,N/A,23179026,01712058,293823562,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Der Promihof,RETAILERS,,Wednesday,97695861,2025-12-03,20:52:25,Online Retailers,23179026_102515eBay InternationaleBay ,25,Lifestyle,293823562,None,20 - 23,10:34,Within,X,27,25,02:10,Within
1119,0.4886,0.4886,eBay ,Things.People.Love.,2925,N/A,23179144,01412352,293832170,RTLZWEI,eBay International,Germany,eBay ,Online Retailers,15,Die Retourenjäger,RETAILERS,,Wednesday,97695867,2025-12-03,23:29:39,Online Retailers,23179144_102515eBay InternationaleBay ,19,Lifestyle,293832170,None,23 - 00,06:06,Within,Y,20,19,01:28,Within
781,0.125,0.125,eBay ,Things.People.Love.,504,N/A,23179144,01040711,293651751,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,15,Galileo X-Plorer,RETAILERS,,Monday   ,97684053,2025-12-01,07:54:15,Online Retailers,23179144_102515eBay InternationaleBay ,2,Lifestyle,293651751,None,06 - 09,04:40,Within,B,16,2,01:10,Within
824,0.3881,0.3881,eBay ,Things.People.Love.,2814,Single split,23179110,51201125,293663396,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,Young Sheldon,RETAILERS,,Monday   ,97684063,2025-12-01,11:02:21,Online Retailers,23179110_102520eBay InternationaleBay ,1,TV series,293663396,First,11 - 13,00:20,Before,S,1,1,00:20,Before
882,0.576,0.576,eBay ,Things.People.Love.,4935,N/A,23179157,01311544,293676482,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,The Big Bang Theory,RETAILERS,,Monday   ,97684078,2025-12-01,15:51:12,Online Retailers,23179157_102520eBay InternationaleBay ,19,TV series,293676482,Last,13 - 17,06:07,Within,Z,19,19,02:08,Within
922,1.3262,1.3262,eBay ,Things.People.Love.,20433,N/A,23179157,01601959,293689774,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,Galileo,RETAILERS,,Monday   ,97684087,2025-12-01,19:46:22,Online Retailers,23179157_102520eBay InternationaleBay ,20,Lifestyle,293689774,Last,17 - 20,06:35,Within,Z,20,20,01:00,Within
928,1.1824,1.1824,eBay ,Things.People.Love.,24843,N/A,23192969,01642061,293693458,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,Galileo,RETAILERS,,Monday   ,97684088,2025-12-01,20:05:16,Online Retailers,23192969_122520eBay InternationaleBay ,17,Lifestyle,293693458,None,20 - 23,08:21,Within,M,20,17,02:16,Within
950,0.803,0.803,eBay ,Things.People.Love.,32162,Pre-split,23179157,64612167,293696712,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,THILO MISCHKE.,RETAILERS,,Monday   ,97684094,2025-12-01,21:48:34,Online Retailers,23179157_102520eBay InternationaleBay ,1,Documentary,293696712,First,20 - 23,07:25,Within,A,23,1,02:59,Within
960,0.7061,0.7061,eBay ,Things.People.Love.,27567,Pre-split,23179144,64612269,293701174,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,15,THILO MISCHKE.,RETAILERS,,Monday   ,97684095,2025-12-01,22:19:23,Online Retailers,23179144_102515eBay InternationaleBay ,1,Documentary,293701174,First,20 - 23,08:12,Within,A,18,1,01:20,Within
965,0.576,0.576,eBay ,Things.People.Love.,17514,N/A,23179026,01602271,293701164,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,15,JENKE. REPORT,RETAILERS,,Monday   ,97684096,2025-12-01,22:48:26,Online Retailers,23179026_102515eBay InternationaleBay ,2,Documentary,293701164,None,20 - 23,06:37,Within,B,18,2,01:50,Within
985,0.3166,0.3166,eBay ,Things.People.Love.,6300,Single split,23179157,51360074,293706426,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,THILO MISCHKE.,RETAILERS,,Tuesday  ,97690831,2025-12-02,00:24:40,Online Retailers,23179157_102520eBay InternationaleBay ,1,Documentary,293706426,First,00 - 03,00:20,Before,S,1,1,00:20,Before
988,0.2356,0.2356,eBay ,Things.People.Love.,4473,N/A,23179110,01290079,293706412,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,THILO MISCHKE.,RETAILERS,,Tuesday  ,97690832,2025-12-02,00:54:32,Online Retailers,23179110_102520eBay InternationaleBay ,13,Documentary,293706412,Last,00 - 03,04:45,Within,Z,13,13,01:10,Within
1008,0.1026,0.1026,eBay ,Things.People.Love.,1323,N/A,23179157,01090816,293719759,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,How I Met Your Mother,RETAILERS,,Tuesday  ,97690843,2025-12-02,08:53:10,Online Retailers,23179157_102520eBay InternationaleBay ,1,TV series,293719759,First,06 - 09,07:15,Within,A,19,1,01:40,Within
1012,0.1315,0.1315,eBay ,Things.People.Love.,1764,N/A,23179157,01120919,293722983,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,The Middle,RETAILERS,,Tuesday  ,97690844,2025-12-02,09:22:39,Online Retailers,23179157_102520eBay InternationaleBay ,2,TV series,293722983,None,09 - 11,06:12,Within,B,18,2,02:07,Within
1028,0.3672,0.3672,eBay ,Things.People.Love.,1512,N/A,23179144,01121024,293726897,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,15,Two and a Half Men,RETAILERS,,Tuesday  ,97690847,2025-12-02,10:44:31,Online Retailers,23179144_102515eBay InternationaleBay ,1,TV series,293726897,First,09 - 11,08:07,Within,A,21,1,01:47,Within
1067,0.4156,0.4156,eBay ,Things.People.Love.,3654,N/A,23192969,01251336,293740968,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,Two and a Half Men,RETAILERS,,Tuesday  ,97690854,2025-12-02,14:02:58,Online Retailers,23192969_122520eBay InternationaleBay ,15,TV series,293740968,Last,13 - 17,04:50,Within,Z,15,15,01:45,Within
1100,1.2894,1.2894,eBay ,Things.People.Love.,8820,N/A,23179144,01461750,293750555,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,15,taff,RETAILERS,,Tuesday  ,97690863,2025-12-02,17:32:36,Online Retailers,23179144_102515eBay InternationaleBay ,3,Newscast,293750555,None,17 - 20,07:59,Within,C,19,3,02:32,Within
1118,0.8109,0.8109,eBay ,Things.People.Love.,9786,N/A,23179157,01451854,293753999,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,Die Simpsons,RETAILERS,,Tuesday  ,97690866,2025-12-02,18:18:52,Online Retailers,23179157_102520eBay InternationaleBay ,16,TV series,293753999,None,17 - 20,07:53,Within,Y,17,16,02:25,Within
1128,1.2417,1.2417,eBay ,Things.People.Love.,24843,N/A,23179157,01642061,293760824,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,Galileo,RETAILERS,,Tuesday  ,97690870,2025-12-02,20:06:05,Online Retailers,23179157_102520eBay InternationaleBay ,16,Lifestyle,293760824,None,20 - 23,07:17,Within,Y,17,16,02:17,Within
1155,0.2212,0.2212,eBay ,Things.People.Love.,4935,N/A,23179110,01310078,293773248,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,TV total,RETAILERS,,Wednesday,97696690,2025-12-03,00:20:13,Online Retailers,23179110_102520eBay InternationaleBay ,1,TV series,293773248,First,00 - 03,07:22,Within,A,14,1,01:17,Within
1160,0.0593,0.0593,eBay ,Things.People.Love.,414,N/A,23193081,01030608,293781708,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,15,taff,RETAILERS,,Wednesday,97696696,2025-12-03,06:41:46,Online Retailers,23193081_122515eBay InternationaleBay ,3,Newscast,293781708,None,06 - 09,04:30,Within,C,14,3,01:15,Within
1164,0.0542,0.0542,eBay ,Things.People.Love.,588,N/A,23179157,01040710,293784365,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,Die Cooking Academy,RETAILERS,,Wednesday,97696697,2025-12-03,07:09:22,Online Retailers,23179157_102520eBay InternationaleBay ,12,TV series,293784365,None,06 - 09,04:40,Within,Y,13,12,00:30,Within
1207,0.3614,0.3614,eBay ,Things.People.Love.,2070,N/A,23179144,01171127,293796391,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,15,The Big Bang Theory,RETAILERS,,Wednesday,97696708,2025-12-03,11:49:57,Online Retailers,23179144_102515eBay InternationaleBay ,17,TV series,293796391,None,11 - 13,06:02,Within,Y,18,17,02:27,Within
1293,0.9107,0.9107,eBay ,Things.People.Love.,46314,N/A,23179144,01772166,293824728,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,15,Joko & Klaas gegen ProSieben,RETAILERS,,Wednesday,97696733,2025-12-03,21:24:19,Online Retailers,23179144_102515eBay InternationaleBay ,17,Lifestyle,293824728,None,20 - 23,08:30,Within,X,19,17,01:55,Within
1309,0.735,0.735,eBay ,Things.People.Love.,46314,N/A,23179026,01772272,293828487,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,15,Joko & Klaas gegen ProSieben,RETAILERS,,Wednesday,97696737,2025-12-03,22:55:58,Online Retailers,23179026_102515eBay InternationaleBay ,9,Lifestyle,293828487,None,20 - 23,08:29,Within,M,18,9,01:10,Within
1311,0.6635,0.6635,eBay ,Things.People.Love.,38640,Pre-split,23179157,51732372,293832141,PROSIEBEN,eBay International,Germany,eBay ,Online Retailers,20,Das Duell um die Geld,RETAILERS,,Wednesday,97696738,2025-12-03,23:16:31,Online Retailers,23179157_102520eBay InternationaleBay ,2,Lifestyle,293832141,Last,23 - 00,00:27,Before,B,2,2,00:20,Before
627,0.8933,0.8933,eBay ,Things.People.Love.,5166,N/A,23179157,01320606,293648449,SAT.1,eBay International,Germany,eBay ,Online Retailers,20,SAT.1-Frühstücksfernsehen,RETAILERS,,Monday   ,97685643,2025-12-01,06:12:50,Online Retailers,23179157_102520eBay InternationaleBay ,1,Newscast,293648449,First,06 - 09,05:44,Within,A,21,1,01:45,Within
669,0.889,0.889,eBay ,Things.People.Love.,2961,N/A,23179110,01211022,293660777,SAT.1,eBay International,Germany,eBay ,Online Retailers,20,Lebensretter hautnah - Wenn jede Sekunde zählt,RETAILERS,,Monday   ,97685654,2025-12-01,10:26:27,Online Retailers,23179110_102520eBay InternationaleBay ,18,Documentary,293660777,Last,09 - 11,05:16,Within,Z,18,18,02:21,Within
754,1.3168,1.3168,eBay ,Things.People.Love.,14400,N/A,23179144,01562061,293692652,SAT.1,eBay International,Germany,eBay ,Online Retailers,15,Der Letzte Bulle,RETAILERS,,Monday   ,97685680,2025-12-01,20:14:14,Online Retailers,23179144_102515eBay InternationaleBay ,14,TV series,293692652,None,20 - 23,04:27,Before,Y,15,14,01:05,Before
787,0.8752,0.8752,eBay ,Things.People.Love.,12558,N/A,23179157,01502374,293702158,SAT.1,eBay International,Germany,eBay ,Online Retailers,20,Frier und Fünfzig - Am Ende meiner Tage,RETAILERS,,Monday   ,97685686,2025-12-01,23:15:44,Online Retailers,23179157_102520eBay InternationaleBay ,18,TV series,293702158,Last,23 - 00,05:31,Within,Z,18,18,01:10,Within
798,0.4112,0.4112,eBay ,Things.People.Love.,4704,N/A,23179157,01300080,293706266,SAT.1,eBay International,Germany,eBay ,Online Retailers,20,Der Letzte Bulle,RETAILERS,,Tuesday  ,97690883,2025-12-02,00:44:26,Online Retailers,23179157_102520eBay InternationaleBay ,13,TV series,293706266,Last,00 - 03,05:17,Within,Z,13,13,01:20,Within
807,0.9519,0.9519,eBay ,Things.People.Love.,4428,N/A,23179026,01320608,293712814,SAT.1,eBay International,Germany,eBay ,Online Retailers,15,SAT.1-Frühstücksfernsehen,RETAILERS,,Tuesday  ,97690889,2025-12-02,06:46:21,Online Retailers,23179026_102515eBay InternationaleBay ,19,Newscast,293712814,None,06 - 09,06:26,Within,Y,20,19,02:12,Within
836,0.6931,0.6931,eBay ,Things.People.Love.,2538,N/A,23179144,01211024,293726963,SAT.1,eBay International,Germany,eBay ,Online Retailers,15,Lebensretter hautnah - Wenn jede Sekunde zählt,RETAILERS,,Tuesday  ,97690902,2025-12-02,10:48:00,Online Retailers,23179144_102515eBay InternationaleBay ,17,Documentary,293726963,Last,09 - 11,06:10,Within,Z,17,17,01:05,Within
903,1.1304,1.1304,eBay ,Things.People.Love.,14400,N/A,23179144,01562061,293760057,SAT.1,eBay International,Germany,eBay ,Online Retailers,15,Hochzeit auf den ersten Blick,RETAILERS,,Tuesday  ,97690923,2025-12-02,20:14:10,Online Retailers,23179144_102515eBay InternationaleBay ,14,Lifestyle,293760057,Last,20 - 23,05:44,Before,Z,14,14,02:10,Before
915,0.8803,0.8803,eBay ,Things.People.Love.,8883,N/A,23192969,01432374,293771792,SAT.1,eBay International,Germany,eBay ,Online Retailers,20,Spiegel TV - Reportage,RETAILERS,,Tuesday  ,97690932,2025-12-02,23:17:57,Online Retailers,23192969_122520eBay InternationaleBay ,1,Documentary,293771792,First,23 - 00,05:27,Within,A,14,1,01:10,Within
926,0.9244,0.9244,eBay ,Things.People.Love.,5166,N/A,23179157,01320608,293781744,SAT.1,eBay International,Germany,eBay ,Online Retailers,20,SAT.1-Frühstücksfernsehen,RETAILERS,,Wednesday,97695693,2025-12-03,06:47:44,Online Retailers,23179157_102520eBay InternationaleBay ,18,Newscast,293781744,None,06 - 09,06:12,Within,Y,19,18,01:20,Within
939,0.8601,0.8601,eBay ,Things.People.Love.,2961,N/A,23179157,01211022,293793481,SAT.1,eBay International,Germany,eBay ,Online Retailers,20,Lebensretter hautnah - Wenn jede Sekunde zählt,RETAILERS,,Wednesday,97695702,2025-12-03,10:19:43,Online Retailers,23179157_102520eBay InternationaleBay ,1,Documentary,293793481,First,09 - 11,05:31,Within,A,20,1,01:22,Within
1004,1.2344,1.2344,eBay ,Things.People.Love.,35049,N/A,23179110,01712167,293824777,SAT.1,eBay International,Germany,eBay ,Online Retailers,20,The Taste,RETAILERS,,Wednesday,97695728,2025-12-03,21:33:03,Online Retailers,23179110_102520eBay InternationaleBay ,1,Lifestyle,293824777,First,20 - 23,09:51,Within,A,22,1,01:07,Within
726,0.1113,0.1113,eBay ,Things.People.Love.,1008,N/A,23179157,01070711,293652205,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,20,Navy CIS,RETAILERS,,Monday   ,97684591,2025-12-01,07:31:52,Online Retailers,23179157_102520eBay InternationaleBay ,5,TV series,293652205,None,06 - 09,05:37,Within,M,18,5,01:22,Within
842,0.8774,0.8774,eBay ,Things.People.Love.,7992,N/A,23179144,01441958,293689340,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,15,Achtung Kontrolle! Wir kümmern uns drum,RETAILERS,,Monday   ,97684618,2025-12-01,19:23:24,Online Retailers,23179144_102515eBay InternationaleBay ,14,Lifestyle,293689340,None,17 - 20,05:02,Within,X,16,14,01:47,Within
852,0.8427,0.8427,eBay ,Things.People.Love.,11361,N/A,23192969,01482061,293693513,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,20,The Last Witch Hunter,RETAILERS,,Monday   ,97684620,2025-12-01,20:13:25,Online Retailers,23192969_122520eBay InternationaleBay ,9,Movie,293693513,None,20 - 23,03:04,Before,X,11,9,01:59,Before
870,1.259,1.259,eBay ,Things.People.Love.,18378,N/A,23179144,01612168,293696834,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,15,The Last Witch Hunter,RETAILERS,,Monday   ,97684624,2025-12-01,21:49:15,Online Retailers,23179144_102515eBay InternationaleBay ,23,Movie,293696834,None,20 - 23,10:27,Within,X,25,23,01:35,Within
883,0.6982,0.6982,eBay ,Things.People.Love.,5958,N/A,23179026,01382375,293702813,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,15,Underworld: Aufstand der Lykaner,RETAILERS,,Monday   ,97684627,2025-12-01,23:31:50,Online Retailers,23179026_102515eBay InternationaleBay ,3,Movie,293702813,None,23 - 00,06:32,Within,C,19,3,00:50,Within
900,0.0896,0.0896,eBay ,Things.People.Love.,1008,N/A,23179157,01070709,293717188,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,20,MacGyver,RETAILERS,,Tuesday  ,97689683,2025-12-02,07:10:41,Online Retailers,23179157_102520eBay InternationaleBay ,5,TV series,293717188,None,06 - 09,04:21,Within,M,13,5,00:37,Within
909,0.1489,0.1489,eBay ,Things.People.Love.,1260,N/A,23179144,01100917,293723899,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,15,Bull,RETAILERS,,Tuesday  ,97689687,2025-12-02,09:05:49,Online Retailers,23179144_102515eBay InternationaleBay ,8,TV series,293723899,None,09 - 11,06:18,Within,M,20,8,01:22,Within
919,0.1951,0.1951,eBay ,Things.People.Love.,1470,N/A,23179157,01101021,293727014,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,20,Castle,RETAILERS,,Tuesday  ,97689690,2025-12-02,10:03:53,Online Retailers,23179157_102520eBay InternationaleBay ,17,TV series,293727014,None,09 - 11,07:58,Within,X,19,17,02:14,Within
978,0.9706,0.9706,eBay ,Things.People.Love.,6264,Single split,23179144,51391752,293750435,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,15,"Mein Lokal, Dein Lokal - Der Profi kommt",RETAILERS,,Tuesday  ,97689709,2025-12-02,17:58:08,Online Retailers,23179144_102515eBay InternationaleBay ,1,Lifestyle,293750435,First,17 - 20,00:15,Before,S,1,1,00:15,Before
996,0.6873,0.6873,eBay ,Things.People.Love.,11361,N/A,23179110,01482061,293761088,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,20,Ritter aus Leidenschaft,RETAILERS,,Tuesday  ,97689715,2025-12-02,20:14:09,Online Retailers,23179110_102520eBay InternationaleBay ,7,Movie,293761088,None,20 - 23,03:04,Before,Y,8,7,01:05,Before
1007,0.6787,0.6787,eBay ,Things.People.Love.,14400,N/A,23193081,01562168,293765085,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,15,Ritter aus Leidenschaft,RETAILERS,,Tuesday  ,97689718,2025-12-02,21:42:16,Online Retailers,23193081_122515eBay InternationaleBay ,2,Movie,293765085,None,20 - 23,07:33,Within,B,21,2,01:37,Within
1017,0.8825,0.8825,eBay ,Things.People.Love.,13839,Single split,23179157,51522373,293772457,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,20,Der Mann in der eisernen Maske,RETAILERS,,Tuesday  ,97689721,2025-12-02,23:02:35,Online Retailers,23179157_102520eBay InternationaleBay ,1,Movie,293772457,First,23 - 00,00:20,Before,S,1,1,00:20,Before
1056,0.1843,0.1843,eBay ,Things.People.Love.,1470,Post-split,23179157,01101021,293793621,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,20,Castle,RETAILERS,,Wednesday,97695355,2025-12-03,10:03:10,Online Retailers,23179157_102520eBay InternationaleBay ,19,TV series,293793621,Last,09 - 11,08:00,Within,Z,19,19,01:17,Within
1142,1.0371,1.0371,eBay ,Things.People.Love.,16668,N/A,23179144,01592166,293825496,KABEL EINS,eBay International,Germany,eBay ,Online Retailers,15,King Arthur: Legend of the Sword,RETAILERS,,Wednesday,97695379,2025-12-03,21:14:25,Online Retailers,23179144_102515eBay InternationaleBay ,18,Movie,293825496,None,20 - 23,07:54,Within,M,21,18,01:49,Within
966,0.2559,0.2559,eBay ,Things.People.Love.,6056,Post-split,23179110,63402063,293760723,SIXX,eBay International,Germany,eBay ,Online Retailers,20,"Fixer Upper: Umbauen, einrichten, einziehen!",RETAILERS,,Tuesday  ,97689560,2025-12-02,20:43:57,Online Retailers,23179110_102520eBay InternationaleBay ,19,Lifestyle,293760723,Last,20 - 23,07:39,Within,Z,19,19,01:22,Within
982,0.1857,0.1857,eBay ,Things.People.Love.,1962,N/A,23179144,01272271,293768079,SIXX,eBay International,Germany,eBay ,Online Retailers,15,No Demo Reno - Umbau ohne Abriss,RETAILERS,,Tuesday  ,97689564,2025-12-02,22:29:42,Online Retailers,23179144_102515eBay InternationaleBay ,2,Lifestyle,293768079,None,20 - 23,04:25,Within,B,15,2,01:45,Within
